date,gpu_temp,fan_speed,pwm_value,gpu_power
2024-04-08-14:48:29,28,5973,80,9.97
2024-04-08-14:48:31,28,5869,80,10.26
2024-04-08-14:48:33,28,5793,80,9.97
2024-04-08-14:48:35,28,5769,80,10.16
2024-04-08-14:48:37,28,5744,80,9.97
2024-04-08-14:48:39,28,5818,80,9.87
2024-04-08-14:48:41,29,5869,80,9.87
2024-04-08-14:48:44,28,5744,80,9.97
2024-04-08-14:48:46,28,5921,80,10.16
2024-04-08-14:48:48,29,5947,80,9.97
2024-04-08-14:48:50,29,5869,80,9.97
2024-04-08-14:48:52,29,6000,80,10.26
2024-04-08-14:48:54,29,5973,80,10.07
2024-04-08-14:48:56,29,5818,80,9.97
2024-04-08-14:48:58,29,5769,80,9.88
2024-04-08-14:49:00,29,5947,80,9.97
2024-04-08-14:49:03,28,5844,80,10.07
2024-04-08-14:49:05,29,5720,80,11.34
2024-04-08-14:49:07,29,5921,80,9.97
2024-04-08-14:49:09,28,5793,80,10.26
2024-04-08-14:49:11,29,5947,80,10.16
2024-04-08-14:49:13,29,5869,80,9.97
2024-04-08-14:49:15,28,5769,80,10.07
2024-04-08-14:49:17,28,5844,80,10.26
2024-04-08-14:49:19,28,5869,80,10.07
2024-04-08-14:49:21,28,5973,80,9.97
2024-04-08-14:49:24,28,5895,80,9.68
2024-04-08-14:49:26,29,5744,80,10.16
2024-04-08-14:49:28,28,5744,80,9.87
2024-04-08-14:49:30,29,5793,80,9.97
2024-04-08-14:49:32,29,5818,80,10.07
2024-04-08-14:49:34,28,5744,80,9.87
2024-04-08-14:49:36,29,5744,80,10.07
2024-04-08-14:49:38,29,5921,80,9.87
2024-04-08-14:49:40,28,5769,80,10.07
2024-04-08-14:49:42,29,5895,80,10.07
2024-04-08-14:49:44,29,5769,80,9.77
2024-04-08-14:49:46,28,5793,80,9.97
2024-04-08-14:49:48,28,5744,80,9.87
2024-04-08-14:49:51,29,5921,80,10.16
2024-04-08-14:49:53,29,5818,80,9.87
2024-04-08-14:49:55,29,5869,80,9.97
2024-04-08-14:49:57,28,5818,80,9.97
2024-04-08-14:49:59,28,5769,80,9.87
2024-04-08-14:50:01,29,5818,80,9.87
2024-04-08-14:50:03,28,5744,80,9.87
2024-04-08-14:50:05,28,5769,80,10.07
2024-04-08-14:50:07,29,5818,80,9.77
2024-04-08-14:50:09,29,5921,80,10.16
2024-04-08-14:50:11,29,5947,80,10.07
2024-04-08-14:50:13,28,5793,80,10.16
2024-04-08-14:50:16,28,5973,80,9.87
2024-04-08-14:50:18,29,5720,80,9.97
2024-04-08-14:50:20,29,5793,80,9.97
2024-04-08-14:50:22,28,5921,80,9.97
2024-04-08-14:50:24,29,5793,80,10.26
2024-04-08-14:50:26,32,5720,80,224.67
2024-04-08-14:50:28,38,5696,80,231.96
2024-04-08-14:50:30,39,5793,80,233.95
2024-04-08-14:50:32,41,5720,80,234.64
2024-04-08-14:50:34,42,5869,80,235.7
2024-04-08-14:50:36,43,5696,80,236.68
2024-04-08-14:50:38,44,5720,80,227.96
2024-04-08-14:50:40,46,5696,80,226.23
2024-04-08-14:50:43,47,5869,80,237.63
2024-04-08-14:50:45,48,5744,80,237.51
2024-04-08-14:50:47,49,5793,80,238.15
2024-04-08-14:50:49,50,5696,80,239.25
2024-04-08-14:50:51,51,5696,82,234.08
2024-04-08-14:50:53,52,5973,84,231.98
2024-04-08-14:50:55,53,6108,86,242.88
2024-04-08-14:50:57,54,6081,88,244.6
2024-04-08-14:50:59,55,6367,90,244.31
2024-04-08-14:51:01,56,6459,92,244.72
2024-04-08-14:51:03,57,6585,94,244.32
2024-04-08-14:51:05,57,6852,94,245.28
2024-04-08-14:51:07,58,6852,96,246.8
2024-04-08-14:51:10,59,6923,98,247.09
2024-04-08-14:51:12,60,7068,100,246.39
2024-04-08-14:51:14,60,7180,100,247.96
2024-04-08-14:51:16,61,7105,105,239.93
2024-04-08-14:51:18,62,7627,110,242.6
2024-04-08-14:51:20,62,7758,110,249.08
2024-04-08-14:51:22,62,7714,110,247.67
2024-04-08-14:51:24,63,7714,115,249.69
2024-04-08-14:51:26,63,7941,115,249.27
2024-04-08-14:51:28,64,8035,120,240.11
2024-04-08-14:51:30,64,8490,120,246.63
2024-04-08-14:51:32,65,8544,125,247.48
2024-04-08-14:51:35,65,8544,125,247.57
2024-04-08-14:51:37,65,8598,125,247.66
2024-04-08-14:51:39,66,8709,130,247.76
2024-04-08-14:51:41,66,9060,130,248.92
2024-04-08-14:51:43,67,9121,135,248.92
2024-04-08-14:51:45,66,9060,130,138.61
2024-04-08-14:51:47,67,9060,135,248.98
2024-04-08-14:51:49,68,9246,140,250.15
2024-04-08-14:51:51,68,9574,140,239.36
2024-04-08-14:51:53,68,9574,140,239.24
2024-04-08-14:51:55,68,9712,140,245.56
2024-04-08-14:51:57,68,9712,140,238.97
2024-04-08-14:52:00,69,9642,145,249.85
2024-04-08-14:52:02,69,9712,145,246.74
2024-04-08-14:52:04,69,9712,145,228.72
2024-04-08-14:52:06,69,9712,145,245.95
2024-04-08-14:52:08,69,9712,145,239.64
2024-04-08-14:52:10,69,9642,145,233.82
2024-04-08-14:52:12,69,9926,145,240.79
2024-04-08-14:52:14,70,9642,150,244.22
2024-04-08-14:52:16,69,10150,145,247.74
2024-04-08-14:52:18,70,9926,150,246.42
2024-04-08-14:52:20,70,10150,150,239.36
2024-04-08-14:52:22,70,10000,150,242.04
2024-04-08-14:52:25,70,10227,150,230.45
2024-04-08-14:52:27,70,10150,150,235.7
2024-04-08-14:52:29,70,10305,150,247.84
2024-04-08-14:52:31,70,10000,150,248.42
2024-04-08-14:52:33,70,9854,150,242.68
2024-04-08-14:52:35,71,10074,175,248.32
2024-04-08-14:52:37,71,11344,175,250.94
2024-04-08-14:52:39,71,11065,175,247.28
2024-04-08-14:52:41,71,11250,175,247.28
2024-04-08-14:52:43,71,11250,175,241.37
2024-04-08-14:52:45,70,11157,150,231.49
2024-04-08-14:52:47,71,9926,175,236.86
2024-04-08-14:52:50,71,11250,175,248.43
2024-04-08-14:52:52,71,11538,175,248.53
2024-04-08-14:52:54,71,11440,175,245.55
2024-04-08-14:52:56,71,11157,175,247.66
2024-04-08-14:52:58,71,11440,175,240.21
2024-04-08-14:53:00,71,11440,175,237.81
2024-04-08-14:53:02,71,11538,175,248.63
2024-04-08-14:53:04,71,11250,175,241.65
2024-04-08-14:53:06,71,11440,175,247.28
2024-04-08-14:53:08,71,11344,175,243.67
2024-04-08-14:53:10,71,11250,175,243.39
2024-04-08-14:53:12,71,11538,175,246.82
2024-04-08-14:53:15,71,11538,175,243.49
2024-04-08-14:53:17,71,11157,175,245.88
2024-04-08-14:53:19,71,11440,175,248.63
2024-04-08-14:53:21,71,11440,175,248.63
2024-04-08-14:53:23,71,11440,175,247.86
2024-04-08-14:53:25,71,11065,175,246.6
2024-04-08-14:53:27,71,11344,175,246.23
2024-04-08-14:53:29,71,11440,175,246.32
2024-04-08-14:53:31,71,11250,175,253.2
2024-04-08-14:53:33,71,11065,175,248.61
2024-04-08-14:53:35,71,11344,175,251.22
2024-04-08-14:53:37,71,11344,175,248.53
2024-04-08-14:53:39,71,11157,175,243.82
2024-04-08-14:53:42,71,11250,175,246.03
2024-04-08-14:53:44,71,11538,175,248.42
2024-04-08-14:53:46,71,11440,175,140.96
2024-04-08-14:53:48,71,11538,175,248.13
2024-04-08-14:53:50,71,11440,175,248.53
2024-04-08-14:53:52,71,11065,175,241.91
2024-04-08-14:53:54,71,11157,175,239.44
